Time,Reg,Caffeinated Drinks per Week,Hrs Sleep per Night,Number of Times Woken up ,Battell,Ross,Suite,Roommates/Suitemates
11/21/2024 11:39,,1,7,0.5,No,Yes,Yes,4
11/21/2024 15:34,Yes,1,8.1,1,Yes,No,No,0
11/21/2024 15:37,Yes,0,8,,No,Yes,No,0
11/21/2024 15:38,Yes,10,8,1,Yes,Yes,No,1
11/21/2024 15:38,No,,7.75,1,No,No,Yes,3
11/21/2024 15:38,Yes,15,6,2,No,No,No,6
11/21/2024 15:38,Yes,1,6,3,No,No,No,1
11/21/2024 15:38,Yes,10,8,1,Yes,Yes,Yes,6
11/21/2024 15:38,Yes,0,7.5,1,No,No,No,0
11/21/2024 15:38,Yes,6,8,2,No,No,No,1
11/21/2024 15:38,No,14,8,1,No,No,No,6
11/21/2024 15:41,Yes,7,7.5,1,Yes,Yes,Yes,5
11/21/2024 15:44,Yes,0,6,1,No,Yes,No,1
11/21/2024 15:48,Yes,0,8,1,No,Yes,No,1
11/21/2024 15:51,No,6,6.5,1,No,Yes,Yes,2
11/21/2024 15:55,No,0,10,3,No,No,Yes,3
11/21/2024 15:56,Yes,8,7,3,No,Yes,No,0
11/21/2024 16:01,Yes,9,7,1,No,Yes,No,0
11/21/2024 16:30,Yes,2,7,2,Yes,No,Yes,3
11/21/2024 16:35,No,1,7,2,No,No,No,1
11/21/2024 16:49,Yes,14,7,1,Yes,Yes,Yes,5
11/21/2024 17:03,Yes,4,6,1,Yes,No,No,0
11/21/2024 17:25,Yes,0,5,2,No,Yes,No,0
11/21/2024 17:30,No,5,6,1,No,No,No,1
11/21/2024 17:42,Yes,7,7,2,No,No,No,1
11/21/2024 19:49,Yes,5,7,4,Yes,Yes,Yes,5
11/21/2024 20:47,Yes,0,7.3,1,No,Yes,Yes,5
11/21/2024 21:00,Yes,0,7.5,2,Yes,Yes,Yes,2
11/21/2024 21:37,Yes,0,8,1,No,No,Yes,3
11/21/2024 23:15,No,2,8,1,Yes,No,Yes,3
11/22/2024 1:03,No,10,5,1,No,No,No,1
11/22/2024 10:09,Yes,3,8,1,Yes,Yes,Yes,5
11/22/2024 11:12,Yes,9,8,2,No,No,No,0
11/22/2024 13:11,Yes,6,6,1,No,Yes,No,0
11/25/2024 19:14,Yes,0,8,,Yes,Yes,No,0
11/21/2024 19:15,Yes,4,8,2,No,No,No,1
11/21/2024 19:16,Yes,14,8,1,No,No,No,6
11/21/2024 19:16,Yes,14,9,1,Yes,Yes,No,0
11/21/2024 19:16,Yes,0,5.5,1,No,No,No,0
11/21/2024 19:17,Yes,8,9,1,No,No,Yes,2
11/21/2024 19:20,No,1,7.5,,No,Yes,No,1
11/21/2024 19:23,Yes,10,7.5,1,Yes,No,No,0
11/21/2024 19:25,Yes,0,9.25,1,Yes,No,No,0
11/21/2024 19:46,Yes,1,7,1,Yes,No,No,1
11/21/2024 19:50,Yes,0,8.75,2,No,No,Yes,3
11/21/2024 19:52,Yes,0,7,1,No,No,No,0
11/21/2024 20:03,Yes,1,5.5,1,Yes,No,No,1
11/21/2024 20:07,Yes,1,8.5,1,No,Yes,No,0
11/21/2024 20:13,Yes,0,8.5,2,Yes,Yes,No,1
11/21/2024 20:13,Yes,0.2,7,1,No,No,No,1
11/21/2024 20:27,Yes,28,8,2,No,No,No,1
11/21/2024 20:32,Yes,5,6,3,Yes,No,No,1
11/21/2024 21:12,Yes,20,6.5,1,No,Yes,No,0
11/21/2024 21:57,Yes,6,7,1,Yes,No,No,0
11/21/2024 22:13,Yes,5,8,1,Yes,Yes,Yes,6
11/21/2024 22:29,Yes,1,7,1,No,Yes,No,0
11/21/2024 22:55,Yes,12,6.5,2,No,No,No,0
11/22/2024 0:29,Yes,0,7.5,1,Yes,Yes,No,0
11/22/2024 7:40,Yes,2,8,2,Yes,Yes,Yes,2
11/22/2024 8:41,Yes,1,6.5,1,Yes,Yes,Yes,2
11/22/2024 9:43,Yes,4,6.5,1,Yes,No,No,1
11/22/2024 9:57,Yes,9,8.5,1,No,Yes,No,0
11/22/2024 14:16,Yes,4,7,1,No,No,No,1
11/22/2024 14:35,Yes,0,7,1,Yes,Yes,No,1
11/22/2024 15:28,Yes,7,7,1,No,Yes,Yes,4
11/22/2024 19:51,Yes,7,7,2,Yes,Yes,Yes,2
11/23/2024 19:45,Yes,0,7.5,3,No,No,No,1
